,Name,Encoded Name,Searched City,Yelp URL,Yelp Rating,Yelp Num Reviews,Yelp Address,Yelp Cost,Yelp Neighborhood,Yelp Tags
240,Carmine’s,Carmine%E2%80%99s,Bellevue,https://www.yelp.com/biz/il-terrazzo-carmine-seattle,4.3,623,"411 1st Ave S Seattle, WA 98104",$$$,See all photos from Sierra M. for Il Terrazzo Carmine,['Italian']
241,Black Bottle,Black%20Bottle,Bellevue,https://www.yelp.com/biz/black-bottle-seattle-2,3.9,1173,"2600 1st Ave Seattle, WA 98121",$$,See all photos from David F. for Black Bottle,"['New American', 'Gastropubs', 'Tapas/Small Plates']"
242,Castilla Restaurant and Tapas Bar,Castilla%20Restaurant%20and%20Tapas%20Bar,Bellevue,https://www.yelp.com/biz/castilla-restaurant-and-tapas-bar-bellevue-2,3.9,631,"504 Bellevue Square Bellevue, WA 98004",$$,See all photos from Leslie B. for Castilla Restaurant and Tapas Bar,"['Spanish', 'Tapas Bars', 'Cocktail Bars']"
243,Xiao Chi Jie,Xiao%20Chi%20Jie,Bellevue,https://www.yelp.com/biz/xiao-chi-jie-bellevue-3,3.9,434,"278 106th Ave NE Bellevue, WA 98004",$$,See all photos from Earnie G. for Xiao Chi Jie,"['Shanghainese', 'Dim Sum']"
244,Musashi Cafe Yeti Bento,Musashi%20Cafe%20Yeti%20Bento,Bellevue,https://www.yelp.com/biz/musashis-sushi-and-bento-bellevue,4.1,312,"10602 NE 9th Pl Bellevue, WA 98004",$$,See all photos from Helene L. for Musashi's Sushi & Bento,"['Korean', 'Sushi Bars', 'Japanese']"
245,So Tasty,So%20Tasty,Bellevue,https://www.yelp.com/biz/so-tasty-bellevue,4.3,232,"15920 NE 8th St Bellevue, WA 98008",$$,See all photos from Generous Y. for So Tasty,"['Noodles', 'Chicken Wings', 'Cantonese']"
246,Mediterranean Kitchen,Mediterranean%20Kitchen,Bellevue,https://www.yelp.com/biz/mediterranean-kitchen-bellevue,4.1,1215,"103 Bellevue Way NE Ste 103 Bellevue, WA 98004",$$,3rd St & 2nd St,"['Greek', 'Mediterranean', 'Halal']"
247,Japonessa Sushi Cocina,Japonessa%20Sushi%20Cocina,Bellevue,https://www.yelp.com/biz/japonessa-sushi-cocina-seattle,4.1,5311,"1400 1st Ave Seattle, WA 98101",$$,Downtown,"['Japanese', 'Sushi Bars', 'Cocktail Bars']"
248,Facing East,Facing%20East,Bellevue,https://www.yelp.com/biz/facing-east-bellevue,4.1,2033,"12736 Bel-Red Rd Bellevue, WA 98005",$$,Write a Review,"['Chinese', 'Taiwanese']"
249,Cactus Restaurants,Cactus%20Restaurants,Bellevue,https://www.yelp.com/biz/cactus-restaurants-south-lake-union-seattle,4.1,993,"350 Terry Ave N Seattle, WA 98109",$$,South Lake Union,"['Tex-Mex', 'Mexican', 'Breakfast & Brunch']"
250,Crab Season,Crab%20Season,Bellevue,https://www.yelp.com/biz/crab-season-bellevue-3,4.3,184,"3303 156th Ave SE Bellevue, WA 98007",,30th Pl & N 157th Ave,"['Seafood', 'Asian Fusion']"
251,Fern Thai on Main,Fern%20Thai%20on%20Main,Bellevue,https://www.yelp.com/biz/fern-thai-on-main-bellevue,4.2,621,"10134 Main St Bellevue, WA 98004",$$,See all photos from Nadia S. for Fern Thai on Main,['Thai']
252,Ascend Prime Steak & Sushi,Ascend%20Prime%20Steak%20%26%20Sushi,Bellevue,https://www.yelp.com/biz/ascend-prime-steak-and-sushi-bellevue-9,4,1494,"10400 NE 4th St Ste 3100 Bellevue, WA 98004",$$$$,See all photos from Scotty L. for Ascend Prime Steak & Sushi,"['Sushi Bars', 'Steakhouses']"
253,The Dolar Shop,The%20Dolar%20Shop,Bellevue,https://www.yelp.com/biz/the-dolar-shop-bellevue,4.3,1136,"11020 NE 6th St Ste 90 Bellevue, WA 98004",$$$,See all photos from Zoe C. for The Dolar Shop,"['Chinese', 'Hot Pot']"
254,The Pink Door,The%20Pink%20Door,Bellevue,https://www.yelp.com/biz/the-pink-door-seattle-4,4.4,7010,"1919 Post Alley Seattle, WA 98101",$$,See all photos from Louise L. for The Pink Door,"['Italian', 'Wine Bars', 'Seafood']"
255,Istanbul Cuisine Cafe,Istanbul%20Cuisine%20Cafe,Bellevue,https://www.yelp.com/biz/istanbul-cuisine-bellevue-3,4.5,429,"405 Bellevue Way NE Bellevue, WA 98004",$$,See all photos from Kayleigh W. for Istanbul Cuisine,"['Turkish', 'Mediterranean']"
256,Cielo Cocina Mexicana,Cielo%20Cocina%20Mexicana,Bellevue,https://www.yelp.com/biz/cielo-cocina-mexicana-bellevue,4.1,283,"958 111th Ave NE Ste 101 Bellevue, WA 98004",$$,See all photos from MyAnne K. for Cielo Cocina Mexicana,['Mexican']
257,Mama’s Kitchen,Mama%E2%80%99s%20Kitchen,Bellevue,https://www.yelp.com/biz/mamas-kitchen-bellevue-2,4,496,"12672 SE 38th St Bellevue, WA 98006",$$,See all photos from Richard P. for Mama's Kitchen,"['Korean', 'Asian Fusion']"
258,Kura Revolving Sushi Bar,Kura%20Revolving%20Sushi%20Bar,Bellevue,https://www.yelp.com/biz/kura-revolving-sushi-bar-bellevue,3.6,580,"266 116th Ave NE Bellevue, WA 98004",$$,See all photos from J T. for Kura Revolving Sushi Bar,"['Sushi Bars', 'Conveyor Belt Sushi']"
259,Din Tai Fung,Din%20Tai%20Fung,Bellevue,https://www.yelp.com/biz/din-tai-fung-seattle,4.2,2675,"2621 NE 46th St Seattle, WA 98105",$$,See all photos from Linn P. for Din Tai Fung,"['Taiwanese', 'Shanghainese', 'Dim Sum']"
260,Din Tai Fung,Din%20Tai%20Fung,Bellevue,https://www.yelp.com/biz/din-tai-fung-seattle,4.2,2675,"2621 NE 46th St Seattle, WA 98105",$$,See all photos from Linn P. for Din Tai Fung,"['Taiwanese', 'Shanghainese', 'Dim Sum']"
261,Gyu-Kaku Japanese BBQ,Gyu-Kaku%20Japanese%20BBQ,Bellevue,https://www.yelp.com/biz/gyu-kaku-japanese-bbq-bellevue,3.9,795,"14506 NE 20th St Ste 2 Bellevue, WA 98007",$$$,See all photos from Ciara L. for Gyu-Kaku Japanese BBQ,"['Barbeque', 'Japanese', 'Asian Fusion']"
262,Bowl Gogi,Bowl%20Gogi,Bellevue,https://www.yelp.com/biz/bowl-gogi-bellevue,4.4,89,"500 108th Ave NE Bellevue, WA 98004",$$,6th St & 4th St,['Korean']
263,Shaburina,Shaburina,Bellevue,https://www.yelp.com/biz/shaburina-redmond-2,4.1,536,"2720 152nd Ave NE Ste 130 Redmond, WA 98052",$$$,24th St & 28th St,"['Buffets', 'Hot Pot', 'Japanese']"
264,Tavern Hall,Tavern%20Hall,Bellevue,https://www.yelp.com/biz/tavern-hall-bellevue-2,3.9,989,"505 Bellevue Sq Bellevue, WA 98004",$$,Wolverine Way & 6th St,"['New American', 'Gastropubs']"
265,Dough Zone - Downtown Bellevue,Dough%20Zone%20-%20Downtown%20Bellevue,Bellevue,https://www.yelp.com/biz/dough-zone-downtown-bellevue-bellevue-2,4.1,311,"10300 Main St Bellevue, WA 98004",$$,See all photos from Meenakshi T. for Dough Zone Dumpling House Bellevue,"['Chinese', 'Noodles', 'Asian Fusion']"
266,Fogo de Chao,Fogo%20de%20Chao,Bellevue,https://www.yelp.com/biz/fogo-de-chao-bellevue-5,4,1680,"440 Bellevue Way NE Bellevue, WA 98004",$$$,See all photos from Thuy N. for Fogo de Chão Brazilian Steakhouse,"['Brazilian', 'Steakhouses']"
267,Shabu Shabu Kyoto Japanese Restaurant,Shabu%20Shabu%20Kyoto%20Japanese%20Restaurant,Bellevue,https://www.yelp.com/biz/shabu-shabu-kyoto-japanese-restaurant-bellevue,4.2,360,"627 156th Ave SE Bellevue, WA 98007",$$,See all photos from Frank L. for Shabu Shabu Kyoto Japanese Restaurant,"['Japanese', 'Hot Pot']"
268,151 Days,151%20Days,Bellevue,https://www.yelp.com/biz/151-days-redmond,4.2,246,"2720 152nd Ave NE Unit 150 Redmond, WA 98052",$$,28th St & 24th St,"['Soup', 'Noodles', 'Taiwanese']"
269,Jiang’s Kitchen,Jiang%E2%80%99s%20Kitchen,Bellevue,https://www.yelp.com/biz/jiang-s-kitchen-redmond,4.4,8,"2720 152nd Ave NE Redmond, WA 98052",,See all photos from Nathan K. for Jiang’s Kitchen,"['Izakaya', 'Diners']"
270,151 Days,151%20Days,Bellevue,https://www.yelp.com/biz/151-days-redmond,4.2,246,"2720 152nd Ave NE Unit 150 Redmond, WA 98052",$$,28th St & 24th St,"['Soup', 'Noodles', 'Taiwanese']"
271,Ten Seconds Yunnan Rice Noodle,Ten%20Seconds%20Yunnan%20Rice%20Noodle,Bellevue,https://www.yelp.com/biz/ten-seconds-yunnan-rice-noodles-seattle,4,12,"516 S Jackson St Seattle, WA 98104",Unclaimed,"Japantown, Chinatown International District","['Chinese', 'Noodles']"
272,Duke’s Seafood,Duke%E2%80%99s%20Seafood,Bellevue,https://www.yelp.com/biz/duke-s-seafood-seattle-3,4,1308,"1111 Fairview Ave N Seattle, WA 98109",$$,See all photos from Wendi K. for Duke’s Seafood,"['Seafood', 'Burgers', 'Fish & Chips']"
273,Meet the Moon,Meet%20the%20Moon,Bellevue,https://www.yelp.com/biz/meet-the-moon-seattle,4,709,"120 Lakeside Ave Seattle, WA 98122",$$,Leschi,"['Breakfast & Brunch', 'Bars', 'Comfort Food']"
274,The Third Place,The%20Third%20Place,Bellevue,https://www.yelp.com/biz/the-pub-at-third-place-seattle,3.8,146,"6504 20th Ave NE Seattle, WA 98115",Unclaimed,Ravenna,"['Pubs', 'American', 'Greek']"
275,DERU Market,DERU%20Market,Bellevue,https://www.yelp.com/biz/deru-market-kirkland,4.3,1771,"723 9th Ave Ste D Kirkland, WA 98033",$$,See all photos from Megan S. for DERU Market,"['Pizza', 'New American', 'Breakfast & Brunch']"
276,Luna Bistro 君月庭,Luna%20Bistro%20%E5%90%9B%E6%9C%88%E5%BA%AD,Bellevue,https://www.yelp.com/biz/luna-bistro-%25E5%2590%259B%25E6%259C%2588%25E5%25BA%25AD-bellevue,,,,,,
277,Woodblock,Woodblock,Bellevue,https://www.yelp.com/biz/woodblock-redmond,4.1,991,"16175 Cleveland St Ste 109 Redmond, WA 98052",$$,Brown St & N 160th Pl,"['Cocktail Bars', 'New American']"
278,Desi Tadka Indian Grill,Desi%20Tadka%20Indian%20Grill,Bellevue,https://www.yelp.com/biz/desi-tadka-indian-grill-bellevue,4.3,132,"304 105th Ave NE Bellevue, WA 98004",$$,Cliff Pl & 2nd St,"['Indian', 'Vegetarian']"
279,Seastar Restaurant & Raw Bar,Seastar%20Restaurant%20%26%20Raw%20Bar,Bellevue,https://www.yelp.com/biz/seastar-restaurant-and-raw-bar-bellevue,4.1,1185,"205 108th Ave NE Ste 100 Bellevue, WA 98004",$$$,See all photos from Jackson H. for Seastar Restaurant & Raw Bar,"['New American', 'Seafood', 'Live/Raw Food']"
280,Musashi’s,Musashi%E2%80%99s,Bellevue,https://www.yelp.com/biz/musashis-seattle,4.1,1295,"1400 N 45th St Seattle, WA 98103",$$,Wallingford,"['Sushi Bars', 'Japanese']"
281,Nine Way 玖味,Nine%20Way%20%E7%8E%96%E5%91%B3,Bellevue,https://www.yelp.com/biz/nine-way-%25E7%258E%2596%25E5%2591%25B3-redmond,,,,,,
282,Forum Social House,Forum%20Social%20House,Bellevue,https://www.yelp.com/biz/forum-social-house-bellevue,3.9,140,"700 Bellevue Way NE Ste 300 Bellevue, WA 98004",$$,S 104th Ave & 6th St,"['Bars', 'Mini Golf', 'New American']"
283,Donburi Station - Bellevue,Donburi%20Station%20-%20Bellevue,Bellevue,https://www.yelp.com/biz/donburi-station-bellevue-bellevue,4.1,122,"14339 NE 20th St Ste E Bellevue, WA 98007",$$,See all photos from Cindy F. for Donburi Station - Bellevue,"['Japanese', 'Poke', 'Salad']"
284,Sushi J,Sushi%20J,Bellevue,https://www.yelp.com/biz/sushi-j-bellevue-2,4.5,363,"15600 NE 8th St Ste PM41 Bellevue, WA 98008",$$,See all photos from Lauren S. for Sushi J,"['Sushi Bars', 'Japanese', 'Seafood']"
285,Bok a Bok Fried Chicken,Bok%20a%20Bok%20Fried%20Chicken,Bellevue,https://www.yelp.com/biz/bok-a-bok-fried-chicken-seattle,3.6,476,"1521 SW 98th St Ste D Seattle, WA 98106",$$,S 16th Ave & S 15th Ave,"['Chicken Shop', 'Chicken Wings', 'Sandwiches']"
286,JOEY Bellevue,JOEY%20Bellevue,Bellevue,https://www.yelp.com/biz/joey-bellevue-bellevue,3.7,1332,"800 Bellevue Way NE Ste 118 Bellevue, WA 98004",$$$,See all photos from Kumar V. for JOEY Bellevue,"['New American', 'Lounges', 'Steakhouses']"
287,STK Steakhouse Bellevue,STK%20Steakhouse%20Bellevue,Bellevue,https://www.yelp.com/biz/stk-steakhouse-bellevue-bellevue-3,3.7,1002,"610 Bellevue Way NE Bellevue, WA 98004",$$$$,See all photos from Susane G. for STK Steakhouse - Bellevue,['Steakhouses']
288,Kizuki Ramen & Izakaya,Kizuki%20Ramen%20%26%20Izakaya,Bellevue,https://www.yelp.com/biz/kizuki-ramen-and-izakaya-seattle-6,3.8,1531,"320 E Pine St Seattle, WA 98122",$$,Capitol Hill,"['Ramen', 'Izakaya']"
289,Krawbar,Krawbar,Bellevue,https://www.yelp.com/biz/krawbar-issaquah,4.1,278,"80 Front St N Issaquah, WA 98027",,See all photos from Kathleen C. for Krawbar,"['Seafood', 'Bars', 'Steakhouses']"
290,Kizuki Ramen & Izakaya,Kizuki%20Ramen%20%26%20Izakaya,Bellevue,https://www.yelp.com/biz/kizuki-ramen-and-izakaya-seattle-6,3.8,1531,"320 E Pine St Seattle, WA 98122",$$,Capitol Hill,"['Ramen', 'Izakaya']"
291,Sandwich House TRES,Sandwich%20House%20TRES,Bellevue,https://www.yelp.com/biz/tres-sandwich-house-bellevue,4.6,722,"1502 145th Pl SE Bellevue, WA 98007",$,See all photos from Christopher V. for TRES Sandwich House,"['Japanese', 'Sandwiches']"
292,Loco-chon Bar & Grill,Loco-chon%20Bar%20%26%20Grill,Bellevue,https://www.yelp.com/biz/loco-chon-bar-and-grill-newcastle,4.2,173,"13256 Newcastle Commons Dr Newcastle, WA 98059",$$,Write a Review,['Mexican']
293,Sukho Thai,Sukho%20Thai,Bellevue,https://www.yelp.com/biz/sukho-thai-bellevue-3,4.3,545,"15045 Bel-Red Rd Bellevue, WA 98007",$$,See all photos from Kumar V. for Sukho Thai,['Thai']
294,Bis on Main,Bis%20on%20Main,Bellevue,https://www.yelp.com/biz/bis-on-main-bellevue,3.7,521,"10213 Main St Bellevue, WA 98004",$$$,S 102nd Ave & N 103rd Ave,"['New American', 'Bars', 'Steakhouses']"
295,The Stone House,The%20Stone%20House,Bellevue,https://www.yelp.com/biz/the-stonehouse-caf%25C3%25A9-seattle,,,,,,
296,Tian Fu,Tian%20Fu,Bellevue,https://www.yelp.com/biz/tian-fu-seattle-4,4.1,217,"300 NE Northgate Way Seattle, WA 98125",$$,Northgate,"['Chinese', 'Seafood', 'Soup']"
297,Due’ Cucina Italiana - Totem Lake,Due%E2%80%99%20Cucina%20Italiana%20-%20Totem%20Lake,Bellevue,https://www.yelp.com/biz/due-cucina-italiana-totem-lake-kirkland-2,4.1,296,"12670 120th Ave NE Ste 170 Kirkland, WA 98034",$$,See all photos from butter s. for Due' Cucina Italiana - Totem Lake,"['Italian', 'Pasta Shops']"
298,Feast,Feast,Bellevue,https://www.yelp.com/biz/feast-kirkland-2,4.1,196,"115 Park Ln Kirkland, WA 98033",$$$,See all photos from Smaly K. for Feast,"['French', 'Wine Bars', 'Seafood']"
299,Como,Como,Bellevue,https://www.yelp.com/biz/como-kirkland,3.5,387,"1270 Carillon Point Kirkland, WA 98033",$$$,See all photos from Christine J. for Como,"['Italian', 'Pizza', 'Cocktail Bars']"
300,Six Seven Restaurant,Six%20Seven%20Restaurant,Bellevue,https://www.yelp.com/biz/six-seven-restaurant-seattle-3,4.1,1258,"2411 Alaskan Way Seattle, WA 98121",$$$,See all photos from Norge Y. for Six Seven Restaurant,"['New American', 'Seafood', 'Cocktail Bars']"
301,La Chingona Taqueria,La%20Chingona%20Taqueria,Bellevue,https://www.yelp.com/biz/la-chingona-taquer%25C3%25ADa-seattle-2,,,,,,
302,Bake’s Place Bar & Bistro,Bake%E2%80%99s%20Place%20Bar%20%26%20Bistro,Bellevue,https://www.yelp.com/biz/bakes-place-bar-and-bistro-bellevue-5,4,339,"155 108th Ave NE Ste 110 Bellevue, WA 98004",$$$,See all photos from Kristin S. for Bake's Place Bar & Bistro,"['New American', 'American', 'Cocktail Bars']"
303,Ishoni Yakiniku,Ishoni%20Yakiniku,Bellevue,https://www.yelp.com/biz/ishoni-yakiniku-seattle,4.5,269,"611 Broadway E Seattle, WA 98102",,See all photos from Fay Y. for Ishoni Yakiniku,"['Barbeque', 'Japanese']"
304,Looking For Chai,Looking%20For%20Chai,Bellevue,https://www.yelp.com/biz/looking-for-chai-bellevue-2,4.2,323,"12121 Northup Way Ste 205 Bellevue, WA 98005",$$,See all photos from Elton L. for Looking For Chai,"['Taiwanese', 'Chinese', 'Seafood']"
305,Dough Zone - Overlake,Dough%20Zone%20-%20Overlake,Bellevue,https://www.yelp.com/biz/dough-zone-overlake-bellevue,4,1003,"14625 NE 24th St Ste 4B Bellevue, WA 98007",$$,See all photos from Derrick G. for Dough Zone Dumpling House Overlake,"['Noodles', 'Comfort Food', 'Desserts']"
306,Sam’s Tavern,Sam%E2%80%99s%20Tavern,Bellevue,https://www.yelp.com/biz/sams-tavern-seattle-2,3.2,380,"400 9th Ave N Seattle, WA 98109",$$,South Lake Union,"['Burgers', 'Sports Bars', 'Dive Bars']"
307,The Pumphouse Bar & Grill,The%20Pumphouse%20Bar%20%26%20Grill,Bellevue,https://www.yelp.com/biz/the-pumphouse-bar-and-grill-bellevue,4,400,"11802 NE 8th St Bellevue, WA 98005",$$,See all photos from Nelson L. for The Pumphouse Bar & Grill,"['American', 'Breakfast & Brunch', 'Cocktail Bars']"
308,Fan Tang Asian Cafe,Fan%20Tang%20Asian%20Cafe,Bellevue,https://www.yelp.com/biz/fan-tang-asian-cafe-kirkland,4.4,129,"10615 NE 68th St Kirkland, WA 98033",$$,See all photos from Chris E. for Fan Tang Asian Cafe,"['Chinese', 'Asian Fusion']"
309,El Gaucho - Bellevue,El%20Gaucho%20-%20Bellevue,Bellevue,https://www.yelp.com/biz/el-gaucho-bellevue-bellevue-2,3.9,836,"450 108th Ave NE Bellevue, WA 98004",$$$$,See all photos from April S. for El Gaucho - Bellevue,"['Steakhouses', 'Seafood', 'Cocktail Bars']"
310,John Howie Steak Restaurant,John%20Howie%20Steak%20Restaurant,Bellevue,https://www.yelp.com/biz/john-howie-steak-restaurant-bellevue-2,4.1,1636,"11111 NE 8th St Ste 125 Bellevue, WA 98004",$$$$,See all photos from Toan P. for John Howie Steak Restaurant,"['Steakhouses', 'New American', 'Whiskey Bars']"
311,Hanok,Hanok,Bellevue,https://www.yelp.com/biz/hanok-seattle-2,4.6,144,"4021 E Madison St Seattle, WA 98112",$$,See all photos from Mia K. for Hanok,"['Korean', 'Asian Fusion']"
312,Water’s Table,Water%E2%80%99s%20Table,Bellevue,https://www.yelp.com/biz/waters-table-renton-7,3.7,652,"1053 Lake Washington Blvd N Renton, WA 98056",$$,See all photos from Reba H. for Water's Table,"['New American', 'Seafood']"
313,Chi Mac Bellevue,Chi%20Mac%20Bellevue,Bellevue,https://www.yelp.com/biz/chi-mac-bellevue-bellevue-2,3.6,153,"3640 Factoria Blvd SE Ste E Bellevue, WA 98006",$$,See all photos from Smaly K. for Chi Mac Bellevue,"['Korean', 'Chicken Wings']"
314,Hui Lau Shan,Hui%20Lau%20Shan,Bellevue,https://www.yelp.com/biz/hui-lau-shan-redmond-2,3.9,317,"15120 NE 24th St Ste F Redmond, WA 98052",$$,See all photos from Eleana S. for Hui Lau Shan,"['Desserts', 'Juice Bars & Smoothies']"
315,Niku Niku Japanese Barbecue,Niku%20Niku%20Japanese%20Barbecue,Bellevue,https://www.yelp.com/biz/niku-niku-japanese-barbecue-seattle,4.6,287,"13200 Aurora Ave N Ste G Seattle, WA 98133",,See all photos from Ivy L. for Niku Niku Japanese Barbecue,"['Barbeque', 'Japanese']"
316,Maichilin,Maichilin,Bellevue,https://www.yelp.com/biz/mai-chi-lin-bellevue,3.7,142,"14603 NE 20th St Ste C-06 Bellevue, WA 98007",$,See all photos from Debra W. for Mai Chi Lin,"['Hong Kong Style Cafe', 'Bubble Tea']"
317,Central Bar + Restaurant,Central%20Bar%20%2B%20Restaurant,Bellevue,https://www.yelp.com/biz/central-bar-restaurant-bellevue,3.9,301,"10475 NE 6th St Bellevue, WA 98004",$$$,N Bellevue Way & N 106th Ave,"['American', 'Bars', 'Breakfast & Brunch']"
318,Pogacha Restaurant & Bar,Pogacha%20Restaurant%20%26%20Bar,Bellevue,https://www.yelp.com/biz/pogacha-restaurant-and-bar-mercer-island,4.2,80,"2707 78th Ave SE Mercer Island, WA 98040",,27th St & 28th St,"['Pizza', 'Breakfast & Brunch', 'Wine Bars']"
319,Afghan Cuisine,Afghan%20Cuisine,Bellevue,https://www.yelp.com/biz/kabul-afghan-cuisine-seattle,4.4,456,"2301 N 45th St Seattle, WA 98103",Unclaimed,See all photos from Michael X. for Kabul Afghan Cuisine,"['Afghan', 'Vegan', 'Vegetarian']"
320,Square Lotus,Square%20Lotus,Bellevue,https://www.yelp.com/biz/square-lotus-bellevue,4,818,"3540 Factoria Blvd SE Bellevue, WA 98006",Unclaimed,See all photos from Kumar V. for Square Lotus,"['Vietnamese', 'Vegetarian', 'Noodles']"
321,Due’ Cucina Italiana - Roosevelt,Due%E2%80%99%20Cucina%20Italiana%20-%20Roosevelt,Bellevue,https://m.yelp.com/biz/due-cucina-roosevelt-seattle,4.2,103,"1201 NE 65th St Seattle, WA 98115",$$,See all photos from Generous Y. for Due' Cucina - Roosevelt,"['Italian', 'Pasta Shops']"
322,Minamoto Japanese Restaurant,Minamoto%20Japanese%20Restaurant,Bellevue,https://www.yelp.com/biz/minamoto-japanese-restaurant-bellevue,3.8,368,"11011 NE 9th St Bellevue, WA 98004",$$$,See all photos from John M. for Minamoto Japanese Restaurant,"['Japanese', 'Sushi Bars']"
323,Monsoon Bellevue,Monsoon%20Bellevue,Bellevue,https://www.yelp.com/biz/monsoon-bellevue-bellevue-3,3.6,766,"10245 Main St Bellevue, WA 98004",Unclaimed,S 102nd Ave & N 103rd Ave,"['Vietnamese', 'Bars']"
324,I Love Sushi on Lake Bellevue,I%20Love%20Sushi%20on%20Lake%20Bellevue,Bellevue,https://www.yelp.com/biz/i-love-sushi-on-lake-bellevue-bellevue,4.1,687,"23 Lake Bellevue Dr Bellevue, WA 98005",$$,See all photos from Ms. A. for I Love Sushi on Lake Bellevue,"['Sushi Bars', 'Japanese']"
325,Hurry Curry of Tokyo - Bellevue,Hurry%20Curry%20of%20Tokyo%20-%20Bellevue,Bellevue,https://www.yelp.com/biz/hurry-curry-of-tokyo-bellevue-bellevue,3.3,79,"15015 Main St Ste 114 Bellevue, WA 98007",,See all photos from Jason L. for Hurry Curry of Tokyo - Bellevue,"['Japanese Curry', 'Comfort Food']"
326,Bai Tong Thai Restaurant,Bai%20Tong%20Thai%20Restaurant,Bellevue,https://www.yelp.com/biz/bai-tong-thai-street-cafe-seattle,4,751,"1121 E Pike St Seattle, WA 98122",$$,See all photos from Chase B. for Bai Tong Thai Street Cafe,"['Thai', 'Cafes', 'Cocktail Bars']"
327,Mioposto,Mioposto,Bellevue,https://www.yelp.com/biz/mioposto-seattle-8,4,334,"3426 NE 55th St Seattle, WA 98105",$$,See all photos from Karla B. for Mioposto,"['Italian', 'Pizza', 'Breakfast & Brunch']"
328,Eques,Eques,Bellevue,https://www.yelp.com/biz/eques-bellevue,4,326,"900 Bellevue Way NE Bellevue, WA 98004",$$,See all photos from Stella D. for Eques,['Breakfast & Brunch']
329,Peony Kitchen,Peony%20Kitchen,Bellevue,https://www.yelp.com/biz/peony-kitchen-bellevue,3.5,579,"10317 Main St Ste 100 Bellevue, WA 98004",$$,See all photos from Meenakshi T. for Peony Kitchen,"['Chinese', 'Asian Fusion']"
330,Señor Taco,Se%C3%B1or%20Taco,Bellevue,https://www.yelp.com/biz/se%25C3%25B1or-taco-federal-way-2,,,,,,
331,Lil’ Jon Restaurant & Lounge,Lil%E2%80%99%20Jon%20Restaurant%20%26%20Lounge,Bellevue,https://www.yelp.com/biz/lil-jon-restaurant-and-lounge-bellevue-3,3.8,732,"3080 148th Ave SE Bellevue, WA 98007",$$,See all photos from Glenn M. for Lil' Jon Restaurant & Lounge,"['Lounges', 'Breakfast & Brunch', 'American']"
332,47 North Bar + Bistro,47%20North%20Bar%20%2B%20Bistro,Bellevue,https://www.yelp.com/biz/47-north-bar-bistro-bellevue-2,3.9,18,"10777 NE 10th St Bellevue, WA 98004",,See all photos from Inna B. for 47 North Bar + Bistro,['New American']
333,AC Lounge,AC%20Lounge,Bellevue,https://www.yelp.com/biz/ac-hotel-seattle-bellevue-downtown-bellevue-3,3.9,83,"208 106th Pl NE Bellevue, WA 98004",$$,See all photos from Karen W. for AC Hotel Seattle Bellevue/Downtown,"['Hotels', 'Venues & Event Spaces']"
334,BeachHouse bar + grill,BeachHouse%20bar%20%2B%20grill,Bellevue,https://www.yelp.com/biz/beachhouse-bar-grill-kirkland-2,3.7,863,"6023 Lake Washington Blvd NE Kirkland, WA 98033",$$,See all photos from Julia W. for BeachHouse bar + grill,"['New American', 'Seafood', 'Breakfast & Brunch']"
335,Resonate Brewery + Pizzeria,Resonate%20Brewery%20%2B%20Pizzeria,Bellevue,https://www.yelp.com/biz/resonate-brewery-pizzeria-bellevue,4.4,471,"5606 119th Ave SE Ste A Bellevue, WA 98006",$$,See all photos from Ayako S. for Resonate Brewery + Pizzeria,"['Pizza', 'Breweries', 'Beer Bar']"
336,Cedar + Elm,Cedar%20%2B%20Elm,Bellevue,https://www.yelp.com/biz/cedar-elm-kenmore,3.5,201,"14477 Juanita Dr NE Kenmore, WA 98028",,See all photos from Ash G. for Cedar + Elm,"['New American', 'Breakfast & Brunch']"
337,FOB Poke Bar,FOB%20Poke%20Bar,Bellevue,https://www.yelp.com/biz/fob-poke-bar-seattle-seattle,4.7,1006,"220 Blanchard St Seattle, WA 98121",$$,Belltown,"['Poke', 'Salad', 'Hawaiian']"
338,Cepae,Cepae,Bellevue,https://www.yelp.com/biz/cepae-tasting-room-bellevue-6,4.2,85,"258 106th Ave NE Bellevue, WA 98004",$$,S Larson Ln & 4th St,"['Wine Tasting Room', 'Wine Bars', 'French']"
339,Taylor Shellfish Oyster Bar,Taylor%20Shellfish%20Oyster%20Bar,Bellevue,https://www.yelp.com/biz/taylor-shellfish-oyster-bar-seattle,4.1,778,"124 Republican St Seattle, WA 98109",$$,See all photos from Arthur T. for Taylor Shellfish Oyster Bar,"['Seafood', 'Bars', 'American']"
340,LifeCafe,LifeCafe,Bellevue,https://www.yelp.com/biz/lifecafe-bellevue,4.3,23,"11111 NE 8th St Bellevue, WA 98004",,N 112th Ave & N 111th Ave,"['Juice Bars & Smoothies', 'Breakfast & Brunch', 'American']"
341,Reunion Malaysian Cafe + Kitchen,Reunion%20Malaysian%20Cafe%20%2B%20Kitchen,Bellevue,https://www.yelp.com/biz/reunion-malaysian-cafe-kitchen-kirkland,4,272,"339 Kirkland Ave Ste C Kirkland, WA 98033",$$,See all photos from Chris E. for Reunion Malaysian Cafe + Kitchen,"['Malaysian', 'Cafes', 'Desserts']"
