,index,Name,Rating,Num Reviews,Address,Marquee,Distribution,Cost,Tags,Zip Code,Neighborhood
359,359,The Lodge Sports Grille,4.0,181,"1102 4th Ave Part Of Executive Pacific Hotel, Seattle, WA 98101-3004","#228 of 2,182 Restaurants in Seattle","[57, 72, 28, 10, 8]",$$ - $$$,AmericanBarPub,98101,Downtown
360,360,El Camino,4.0,93,"607 N 35th St, Seattle, WA 98103-8608","#229 of 2,182 Restaurants in Seattle","[38, 38, 10, 2, 2]",$$ - $$$,MexicanLatinCentral American,98103,Fremont/Wallingford
361,361,Pike Place Bar & Grill,3.5,405,"90 Pike St Ste 20, Seattle, WA 98101-2125","#230 of 2,182 Restaurants in Seattle","[105, 147, 79, 30, 29]",$$ - $$$,AmericanBarPub,98101,Downtown
362,362,Red Cedar and Sage,4.5,76,"1501 Pike Pl #200, Seattle, WA 98101-3503","#231 of 2,182 Restaurants in Seattle","[42, 21, 9, 1, 1]",$$ - $$$,AmericanBarInternational,98101,Downtown
363,363,Cloudburst Brewing,4.5,78,"2116 Western Ave, Seattle, WA 98121-2110","#232 of 2,182 Restaurants in Seattle","[47, 18, 7, 1, 3]",,,98121,Belltown
364,364,Miners Landing,4.0,110,"1301 Alaskan Way, Seattle, WA 98101-2013","#233 of 2,182 Restaurants in Seattle","[27, 41, 30, 1, 2]",$$ - $$$,American,98101,Downtown
365,365,Lost Lake Cafe & Lounge,4.0,131,"1500 10th Ave, Seattle, WA 98122-3807","#234 of 2,182 Restaurants in Seattle","[55, 46, 12, 4, 4]",$$ - $$$,AmericanBarCafe,98122,Capitol Hill
366,366,Annapurna Cafe & Yeti Bar,4.5,122,"1833 Broadway, Seattle, WA 98122-2415","#235 of 2,182 Restaurants in Seattle","[66, 32, 13, 8, 1]",$$ - $$$,IndianTibetanNepali,98122,Capitol Hill
367,367,Aerlume Seattle,4.5,58,"2003 Western Ave Suite C, Seattle, WA 98121-2161","#236 of 2,182 Restaurants in Seattle","[34, 12, 6, 2, 1]",$$$$,AmericanSteakhouse,98121,Belltown
369,369,Pintxo,4.5,126,"2219 4th Ave, Seattle, WA 98121-2016","#237 of 2,182 Restaurants in Seattle","[62, 40, 7, 7, 2]",$$ - $$$,BarMediterraneanSpanish,98121,Belltown
370,370,Canon,4.5,144,"928 12th Ave, Seattle, WA 98122-4412","#238 of 2,182 Restaurants in Seattle","[106, 17, 3, 1, 14]",$$ - $$$,AmericanBar,98122,Capitol Hill
371,371,Katsu Burger,4.5,77,"6538 4th Ave S Between Michigan St & S East Marginal Way, Seattle, WA 98108-3257",#62 of 302 Quick Bites in Seattle,"[36, 33, 2, 2, 1]",$,Quick BitesJapaneseFast Food,98108,Other
373,373,Caffe Ladro,4.5,101,"600 Queen Anne Ave N, Seattle, WA 98109-4012",#19 of 225 Coffee & Tea in Seattle,"[48, 39, 9, 1, 1]",$,Quick BitesAmericanCafe,98109,Queen Anne/South Lake Union
374,374,Rocky Mountain Chocolate Factory,4.5,109,"1419 First Ave, Seattle, WA 98101-2017",#33 of 112 Desserts in Seattle,"[55, 32, 8, 2, 2]",$$ - $$$,Dessert,98101,Downtown
375,375,Columbia City Bakery,4.5,61,"4865 Rainier Ave S, Seattle, WA 98118-1741",#19 of 88 Bakeries in Seattle,"[43, 15, 1, 1, 0]",$$ - $$$,BakeriesCafeVegetarian Friendly,98118,Other
376,376,El Borracho,4.0,246,"1521 1st Ave Between Pike and Pine Streets, Seattle, WA 98101-1523","#239 of 2,182 Restaurants in Seattle","[104, 86, 24, 7, 16]",$,MexicanLatinBar,98101,Downtown
377,377,Tai Tung,4.0,93,"659 S King St, Seattle, WA 98104-2937","#240 of 2,182 Restaurants in Seattle","[49, 25, 7, 7, 3]",$$ - $$$,ChineseAsianCantonese,98104,Chinatown
380,380,The Matador,4.0,121,"5410 Ballard Ave NW, Seattle, WA 98107-4025","#241 of 2,182 Restaurants in Seattle","[44, 53, 11, 4, 4]",$$ - $$$,MexicanBar,98107,Ballard
381,381,Mojito,4.5,52,"7545 Lake City Way NE, Seattle, WA 98115-4218","#242 of 2,182 Restaurants in Seattle","[33, 14, 2, 2, 1]",$$ - $$$,CaribbeanLatinSpanish,98115,Other
382,382,Rosita's Mexican Grill,4.5,75,"7210 Woodlawn Ave NE, Seattle, WA 98115-5336","#243 of 2,182 Restaurants in Seattle","[39, 28, 8, 0, 0]",$$ - $$$,MexicanVegetarian Friendly,98115,Other
383,383,Top Pot Doughnuts,4.0,97,"720 3rd Ave, Seattle, WA 98104-1868",#20 of 88 Bakeries in Seattle,"[37, 33, 21, 2, 0]",$,BakeriesAmerican,98104,Chinatown
384,384,Pagliacci Pizza,4.0,149,"426 Broadway E, Seattle, WA 98102-5010",#66 of 302 Quick Bites in Seattle,"[61, 54, 25, 7, 1]",$$ - $$$,Quick BitesItalianPizza,98102,Capitol Hill
386,386,D'Ambrosio Gelato,4.5,87,"5339 Ballard Ave NW, Seattle, WA 98107-4061",#36 of 112 Desserts in Seattle,"[58, 19, 3, 0, 3]",$,DessertItalianAmerican,98107,Ballard
387,387,Ciudad,4.5,58,"6118 12th Ave S, Seattle, WA 98108-2768","#244 of 2,182 Restaurants in Seattle","[40, 9, 3, 2, 2]",$$ - $$$,BarBarbecueContemporary,98108,Other
390,390,Trinity Market and Deli,4.5,50,"4305 Roosevelt Way NE # 98105, Seattle, WA 98105-4717",#4 of 69 Bars & Pubs in Seattle,"[31, 16, 2, 0, 0]",$,AmericanVegetarian FriendlyVegan Options,98105,University District
391,391,Starbucks,4.0,166,"305 Harrison St Suite 220, Seattle, WA 98109-4623",#20 of 225 Coffee & Tea in Seattle,"[39, 48, 31, 7, 3]",$,Quick BitesAmericanCafe,98109,Queen Anne/South Lake Union
392,392,El Moose,4.0,128,"5242 Leary Ave NW, Seattle, WA 98107-4821","#246 of 2,182 Restaurants in Seattle","[68, 35, 9, 9, 5]",$$ - $$$,MexicanLatinVegetarian Friendly,98107,Ballard
393,393,Caffe Umbria,4.5,98,"320 Occidental Ave S, Seattle, WA 98104-2840",#21 of 225 Coffee & Tea in Seattle,"[45, 37, 6, 0, 2]",$,Quick BitesCafeVegetarian Friendly,98104,Chinatown
394,394,Piatti,4.0,161,"2695 NE Village Lane, Seattle, WA 98105","#247 of 2,182 Restaurants in Seattle","[55, 70, 18, 12, 3]",$$ - $$$,ItalianContemporaryVegetarian Friendly,98105,University District
395,395,Via Tribunali,4.0,157,"913 E Pike St, Seattle, WA 98122-3816","#248 of 2,182 Restaurants in Seattle","[71, 54, 14, 6, 4]",$$ - $$$,ItalianPizzaVegetarian Friendly,98122,Capitol Hill
396,396,Salt & Straw,5.0,35,"5420 Ballard Ave NW, Seattle, WA 98107-4028",#37 of 112 Desserts in Seattle,"[27, 6, 0, 0, 0]",$$ - $$$,Dessert,98107,Ballard
397,397,Pasta Casalinga,5.0,35,"93 Pike St Ste 201, Seattle, WA 98101-2052","#249 of 2,182 Restaurants in Seattle","[24, 3, 2, 0, 0]",$$ - $$$,ItalianVegetarian Friendly,98101,Downtown
400,400,Triple Door,4.0,145,"216 Union St, Seattle, WA 98101-2102","#250 of 2,182 Restaurants in Seattle","[63, 54, 15, 7, 4]",$$ - $$$,BarInternationalAsian,98101,Downtown
401,401,Pike Place Bakery at Pike Place Market,4.0,130,"1501 Pike Pl, Seattle, WA 98101-3503",#21 of 88 Bakeries in Seattle,"[63, 31, 12, 3, 7]",$,Bakeries,98101,Downtown
402,402,Easy Street Records & Cafe,4.5,98,"4559 California Ave SW # 200, Seattle, WA 98116-4110","#251 of 2,182 Restaurants in Seattle","[48, 32, 11, 1, 4]",$,AmericanCafeDiner,98116,Other
403,403,Brimmer & Heeltap,4.5,79,"425 NW Market St, Seattle, WA 98107-2707","#252 of 2,182 Restaurants in Seattle","[44, 24, 7, 4, 0]",$$ - $$$,SeafoodFusionHealthy,98107,Ballard
407,407,La Catrina,4.0,127,"5905 Airport Way S, Seattle, WA 98108-2714","#253 of 2,182 Restaurants in Seattle","[60, 44, 9, 8, 4]",$$ - $$$,MexicanLatinVegetarian Friendly,98108,Other
408,408,Potbelly Sandwich Shop,4.0,88,"1429 4th Avenue, Seattle, WA 98101",#70 of 302 Quick Bites in Seattle,"[27, 36, 15, 0, 0]",$,Quick BitesAmericanFast Food,98101,Downtown
411,411,Collins Pub,4.0,90,"526 2nd Ave, Seattle, WA 98104-2336","#254 of 2,182 Restaurants in Seattle","[29, 48, 9, 3, 0]",$$ - $$$,AmericanBarPub,98104,Chinatown
413,413,Blue Water Taco Grill,4.0,128,"515 Queen Anne Ave N, Seattle, WA 98109-4521","#255 of 2,182 Restaurants in Seattle","[56, 50, 13, 3, 5]",$,MexicanSouthwesternVegetarian Friendly,98109,Queen Anne/South Lake Union
414,414,Byen Bakeri,5.0,46,"15 Nickerson St Ste D, Seattle, WA 98109-7702",#22 of 88 Bakeries in Seattle,"[40, 5, 0, 1, 0]",$$ - $$$,BakeriesCafeScandinavian,98109,Queen Anne/South Lake Union
415,415,Delancey,4.5,101,"1415 NW 70th St, Seattle, WA 98117-5340","#256 of 2,182 Restaurants in Seattle","[60, 26, 8, 3, 3]",$$ - $$$,ItalianAmericanPizza,98117,Other
416,416,Quinn's Pub,4.0,167,"1001 E Pike St, Seattle, WA 98122-3818","#257 of 2,182 Restaurants in Seattle","[74, 54, 28, 2, 4]",$$ - $$$,AmericanBarPub,98122,Capitol Hill
417,417,The Golden Olive,4.5,42,"521 Queen Anne Ave N, Seattle, WA 98109-4521",#72 of 302 Quick Bites in Seattle,"[27, 12, 1, 0, 1]",$,Quick BitesMediterraneanGreek,98109,Queen Anne/South Lake Union
418,418,J & M Cafe,4.0,111,"201 1st Ave S, Seattle, WA 98104-2503","#258 of 2,182 Restaurants in Seattle","[36, 54, 9, 4, 2]",$$ - $$$,AmericanBarPub,98104,Chinatown
419,419,Kabul Restaurant,4.5,82,"2301 N 45th St, Seattle, WA 98103-6905","#259 of 2,182 Restaurants in Seattle","[57, 19, 2, 2, 2]",$$ - $$$,Middle EasternAfghanVegetarian Friendly,98103,Fremont/Wallingford
421,421,Stumbling Goat Bistro,4.5,105,"6722 Greenwood Ave N, Seattle, WA 98103-5226","#260 of 2,182 Restaurants in Seattle","[63, 33, 4, 3, 1]",$$ - $$$,AmericanContemporary,98103,Fremont/Wallingford
422,422,Frolik Kitchen + Cocktails,4.0,253,"1415 5th Ave 5th Floor, Seattle, WA 98101","#261 of 2,182 Restaurants in Seattle","[94, 78, 44, 16, 13]",$$ - $$$,AmericanBarContemporary,98101,Downtown
424,424,Kona Kitchen,4.5,65,"8501 5th Ave NE, Seattle, WA 98115-2917","#262 of 2,182 Restaurants in Seattle","[30, 26, 7, 2, 0]",$$ - $$$,AmericanAsianPolynesian,98115,Other
425,425,Saltoro,4.5,69,"14053 Greenwood Ave N, Seattle, WA 98133-6810","#263 of 2,182 Restaurants in Seattle","[37, 23, 6, 1, 1]",$$ - $$$,AmericanMediterraneanVegetarian Friendly,98133,Bitter Lake
426,426,The Hangar Cafe,4.5,79,"6261 13th Ave S, Seattle, WA 98108-2709","#264 of 2,182 Restaurants in Seattle","[49, 21, 4, 1, 3]",$$ - $$$,AmericanCafeVegetarian Friendly,98108,Other
427,427,The Hart and the Hunter,4.5,31,"111 Pine St, Seattle, WA 98101-1511","#265 of 2,182 Restaurants in Seattle","[19, 7, 2, 2, 0]",$$ - $$$,American,98101,Downtown
429,429,Ramen Danbo,4.5,45,"1222 E Pine St Suite A, Seattle, WA 98122-3953","#266 of 2,182 Restaurants in Seattle","[27, 11, 0, 1, 1]",$$ - $$$,JapaneseAsianSoups,98122,Capitol Hill
432,432,Art of the Table,4.5,145,"1054 N 39th St, Seattle, WA 98103-7921","#267 of 2,182 Restaurants in Seattle","[100, 22, 9, 5, 8]",$$$$,AmericanGluten Free Options,98103,Fremont/Wallingford
433,433,Queen Mary Tea,4.5,73,"2912 NE 55th St, Seattle, WA 98105-5532","#268 of 2,182 Restaurants in Seattle","[42, 19, 2, 8, 0]",$$ - $$$,British,98105,University District
434,434,Mioposto,4.5,78,"3601 S McClellan St, Seattle, WA 98144-5615","#269 of 2,182 Restaurants in Seattle","[34, 34, 5, 2, 1]",$$ - $$$,ItalianPizzaVegetarian Friendly,98144,Other
435,435,14 Carrot Cafe,4.0,73,"2305 Eastlake Ave E, Seattle, WA 98102-3305","#270 of 2,182 Restaurants in Seattle","[31, 30, 6, 3, 1]",$$ - $$$,AmericanCafeVegetarian Friendly,98102,Capitol Hill
436,436,Lady Yum,5.0,32,"2130 6th Ave, Seattle, WA 98121-2513",#23 of 88 Bakeries in Seattle,"[26, 4, 0, 1, 0]",$$ - $$$,BakeriesEuropean,98121,Belltown
437,437,Floret,4.0,82,"17801 International Blvd Seattle Tacoma International Airport, Seattle, WA 98158-1202","#271 of 2,182 Restaurants in Seattle","[36, 28, 8, 3, 5]",$$ - $$$,AmericanCafeVegetarian Friendly,98158,Other
438,438,Elliott Bay Public House & Brewery,4.0,93,"12537 Lake City Way NE, Seattle, WA 98125-4424","#272 of 2,182 Restaurants in Seattle","[32, 49, 8, 2, 1]",$$ - $$$,AmericanBarPub,98125,Northgate
439,439,Bar del Corso,4.5,96,"3057 Beacon Ave S, Seattle, WA 98144-5853","#273 of 2,182 Restaurants in Seattle","[62, 21, 8, 4, 1]",$$ - $$$,ItalianPizzaVegetarian Friendly,98144,Other
441,441,JuneBaby,4.0,79,"2122 NE 65th St, Seattle, WA 98115-6936","#274 of 2,182 Restaurants in Seattle","[38, 22, 11, 7, 1]",$$ - $$$,AmericanAfricanCajun & Creole,98115,Other
442,442,Red Robin Gourmet Burgers and Brews,4.0,240,"1101 Alaskan Way, Seattle, WA 98101-2981","#275 of 2,182 Restaurants in Seattle","[74, 77, 29, 16, 15]",$$ - $$$,AmericanBarGluten Free Options,98101,Downtown
443,443,McCoy's Firehouse Bar & Grill,4.0,100,"173 S Washington St, Seattle, WA 98104-2531","#276 of 2,182 Restaurants in Seattle","[51, 18, 12, 6, 6]",$$ - $$$,AmericanBarPub,98104,Chinatown
444,444,Daawat Indian Grill,4.0,117,"820 Pike St, Seattle, WA 98101-3922","#277 of 2,182 Restaurants in Seattle","[51, 39, 12, 6, 5]",$$ - $$$,IndianVegetarian FriendlyVegan Options,98101,Downtown
445,445,Vovito Expresso Gelato Bar,4.0,116,"1100 4th Ave Atached to Lobby of Executive Hotel Pacfic, Seattle, WA 98101-3004",#41 of 112 Desserts in Seattle,"[42, 37, 12, 8, 3]",$$ - $$$,DessertPizza,98101,Downtown
446,446,Itto's Tapas,5.0,37,"4160 California Ave SW, Seattle, WA 98116-4102","#278 of 2,182 Restaurants in Seattle","[28, 8, 0, 0, 0]",$$ - $$$,MoroccanSpanishVegetarian Friendly,98116,Other
447,447,Omega Ouzeri,4.5,58,"1529 14th Ave, Seattle, WA 98122-4023","#279 of 2,182 Restaurants in Seattle","[38, 11, 4, 1, 2]",$$ - $$$,MediterraneanGreekHealthy,98122,Capitol Hill
449,449,Re:public,4.0,85,"429 Westlake Ave N, Seattle, WA 98109-5221","#280 of 2,182 Restaurants in Seattle","[34, 32, 14, 2, 0]",$$ - $$$,AmericanBarVegetarian Friendly,98109,Queen Anne/South Lake Union
450,450,Caffe Senso Unico,5.0,49,"622 Olive Way, Seattle, WA 98101-1717",#22 of 225 Coffee & Tea in Seattle,"[39, 6, 1, 0, 0]",$,Quick BitesItalianCafe,98101,Downtown
451,451,Hard Rock Cafe Seattle,3.5,638,"116 Pike St, Seattle, WA 98101-2010","#281 of 2,182 Restaurants in Seattle","[126, 183, 116, 54, 48]",$$ - $$$,AmericanBarVegetarian Friendly,98101,Downtown
452,452,Tacos Chukis,4.5,75,"219 Broadway E, Seattle, WA 98102-5733",#75 of 302 Quick Bites in Seattle,"[49, 14, 4, 1, 3]",$,Quick BitesMexicanVegetarian Friendly,98102,Capitol Hill
454,454,Racha Noodles & Thai Cuisine,4.0,114,"537 1st Ave N, Seattle, WA 98109","#282 of 2,182 Restaurants in Seattle","[35, 47, 10, 6, 5]",$$ - $$$,AsianThaiVegetarian Friendly,98109,Queen Anne/South Lake Union
456,456,Sal Y Limón,4.5,37,"10 Mercer St, Seattle, WA 98109-4006","#283 of 2,182 Restaurants in Seattle","[27, 7, 0, 0, 2]",$$ - $$$,MexicanLatinSpanish,98109,Queen Anne/South Lake Union
457,457,Mashawi,4.5,101,"366 Roy St, Seattle, WA 98109-4116","#284 of 2,182 Restaurants in Seattle","[56, 28, 8, 6, 2]",$$ - $$$,LebaneseMediterraneanMiddle Eastern,98109,Queen Anne/South Lake Union
458,458,Sarajevo Lounge,4.5,74,"2332 1st Ave, Seattle, WA 98121-1617","#285 of 2,182 Restaurants in Seattle","[35, 29, 6, 1, 1]",$$ - $$$,MediterraneanGastropubEastern European,98121,Belltown
459,459,Ma'ono Fried Chicken,4.0,125,"4437 California Ave SW, Seattle, WA 98116-4108","#286 of 2,182 Restaurants in Seattle","[67, 33, 14, 9, 2]",$$ - $$$,AmericanPolynesian,98116,Other
460,460,Kamonegi,4.5,35,"1054 N 39th St, Seattle, WA 98103-7921","#287 of 2,182 Restaurants in Seattle","[19, 12, 4, 0, 0]",$$ - $$$,JapaneseAsianFusion,98103,Fremont/Wallingford
461,461,Hello Robin,4.5,46,"526 19th Ave E, Seattle, WA 98112-4089",#42 of 112 Desserts in Seattle,"[33, 10, 2, 1, 0]",$$ - $$$,DessertAmerican,98112,Capitol Hill
464,464,Bay Cafe,4.5,67,"1900 W Nickerson St, Seattle, WA 98119-1661","#288 of 2,182 Restaurants in Seattle","[31, 28, 8, 0, 0]",$$ - $$$,AmericanCafeDiner,98119,Other
465,465,Local Terry Ave,4.5,51,"404 Terry Ave N, Seattle, WA 98109","#289 of 2,182 Restaurants in Seattle","[22, 22, 4, 1, 0]",$$ - $$$,AmericanBrew PubBar,98109,Queen Anne/South Lake Union
466,466,Plaza Garibaldi,4.5,63,"129 1st Ave N, Seattle, WA 98109-4902","#290 of 2,182 Restaurants in Seattle","[38, 16, 5, 2, 0]",$$ - $$$,MexicanVegetarian Friendly,98109,Queen Anne/South Lake Union
467,467,Damn The Weather,4.0,109,"116 1st Ave S, Seattle, WA 98104-2502","#291 of 2,182 Restaurants in Seattle","[46, 38, 14, 4, 5]",$$ - $$$,AmericanBarVegetarian Friendly,98104,Chinatown
470,470,Larsen's Original Bakery,4.5,57,"8000 24th Ave NW, Seattle, WA 98117-4437",#24 of 88 Bakeries in Seattle,"[39, 12, 3, 1, 0]",$$ - $$$,Bakeries,98117,Other
471,471,2120,4.0,70,"2120 6th Ave Right next to Amazon's Spheres, and only a few blocks away from the Space Needle, Seattle, WA 98121-2513","#292 of 2,182 Restaurants in Seattle","[37, 18, 7, 4, 2]",$$ - $$$,AmericanContemporaryVegetarian Friendly,98121,Belltown
473,473,Caffe Ladro,4.5,60,"801 Pine St, Seattle, WA 98101-1811",#23 of 225 Coffee & Tea in Seattle,"[25, 25, 2, 3, 0]",$,Quick BitesCafe,98101,Downtown
474,474,Dick's Drive-In - Broadway E,4.0,296,"1115 Broadway E, Seattle, WA 98102-5711",#78 of 302 Quick Bites in Seattle,"[103, 87, 59, 15, 23]",$,Quick BitesAmericanFast Food,98102,Capitol Hill
475,475,Bedlam Coffee,4.5,67,"2231 2nd Ave, Seattle, WA 98121-2016",#24 of 225 Coffee & Tea in Seattle,"[42, 17, 4, 0, 2]",$,Quick BitesAmericanCafe,98121,Belltown
476,476,Spud Fish & Chips,4.0,162,"2666 Alki Ave SW, Seattle, WA 98116-2837",#80 of 302 Quick Bites in Seattle,"[56, 61, 26, 12, 5]",$$ - $$$,Quick BitesAmericanSeafood,98116,Other
478,478,Aqua Terra,4.0,116,"3201 S 176th St Seattle Airport Marriott, Seattle, WA 98188-4013","#293 of 2,182 Restaurants in Seattle","[41, 52, 10, 6, 5]",$$ - $$$,AmericanVegetarian FriendlyVegan Options,98188,Other
481,481,Rione XIII,4.5,96,"401 15th Ave E Capitol Hill Neighborhood, Seattle, WA 98112-4504","#294 of 2,182 Restaurants in Seattle","[52, 23, 8, 5, 3]",$$ - $$$,ItalianVegetarian FriendlyVegan Options,98112,Capitol Hill
482,482,Uwajimaya Village Food Court,4.0,82,"600 5th Ave S, Seattle, WA 98104-3898","#295 of 2,182 Restaurants in Seattle","[23, 40, 9, 3, 0]",$,ChineseFast FoodAsian,98104,Chinatown
483,483,Mantra Thai,4.0,98,"2720 4th Ave Suite 116, Seattle, WA 98121-1388","#296 of 2,182 Restaurants in Seattle","[31, 37, 11, 3, 4]",$$ - $$$,AsianThaiVegetarian Friendly,98121,Belltown
484,484,Fuji Bakery,4.5,41,"526 S King St, Seattle, WA 98104-2834",#25 of 88 Bakeries in Seattle,"[30, 8, 0, 0, 0]",$,BakeriesCafe,98104,Chinatown
485,485,Razzi's Pizzeria,4.0,100,"8523 Greenwood Ave N, Seattle, WA 98103-3613","#297 of 2,182 Restaurants in Seattle","[51, 30, 9, 5, 4]",$$ - $$$,ItalianPizzaVegetarian Friendly,98103,Fremont/Wallingford
486,486,Christo's on Alki,4.5,56,"2508 Alki Ave SW, Seattle, WA 98116-2238","#298 of 2,182 Restaurants in Seattle","[28, 19, 6, 2, 0]",$$ - $$$,PizzaMediterraneanGreek,98116,Other
487,487,Jerk Shack,4.5,34,"2510 1st Ave, Seattle, WA 98121-1303","#299 of 2,182 Restaurants in Seattle","[27, 3, 2, 1, 0]",$$ - $$$,CaribbeanJamaicanVegetarian Friendly,98121,Belltown
488,488,Trace Market,4.0,167,"1112 4th Ave W Seattle, Seattle, WA 98101-3004","#300 of 2,182 Restaurants in Seattle","[59, 60, 26, 9, 8]",$$ - $$$,AmericanBarFusion,98101,Downtown
489,489,Betty Restaurant and Bar,4.0,86,"1507 Queen Anne Ave N, Seattle, WA 98109-5736","#301 of 2,182 Restaurants in Seattle","[31, 37, 15, 2, 1]",$$ - $$$,American,98109,Queen Anne/South Lake Union
490,490,Watershed Pub & Kitchen,4.0,66,"10104 3rd Ave NE, Seattle, WA 98125-9001","#302 of 2,182 Restaurants in Seattle","[25, 28, 7, 2, 1]",$$ - $$$,AmericanBarPizza,98125,Northgate
491,491,General Porpoise,4.0,68,"1020 E Union St, Seattle, WA 98122-3825",#26 of 88 Bakeries in Seattle,"[34, 18, 9, 4, 1]",$,BakeriesAmerican,98122,Capitol Hill
492,492,Brouwer's,4.0,138,"400 N 35th St, Seattle, WA 98103-8607","#303 of 2,182 Restaurants in Seattle","[50, 60, 13, 8, 6]",$$ - $$$,BelgianBarPub,98103,Fremont/Wallingford
493,493,Urbane,4.0,173,"1638 8th Ave, Seattle, WA 98101-1800","#304 of 2,182 Restaurants in Seattle","[59, 65, 24, 13, 9]",$$ - $$$,AmericanVegetarian FriendlyGluten Free Options,98101,Downtown
494,494,84 Yesler,5.0,16,"84 Yesler Way, Seattle, WA 98104","#305 of 2,182 Restaurants in Seattle","[16, 0, 0, 0, 0]",$$$$,ItalianSeafood,98104,Chinatown
495,495,La Creperie Voila,4.0,109,"707 Pike St Suite 1, Seattle, WA 98101-2310",#45 of 112 Desserts in Seattle,"[45, 44, 12, 3, 4]",$,DessertVegetarian Friendly,98101,Downtown
496,496,Jak's Grill,4.0,144,"3701 NE 45th St, Seattle, WA 98105-3909","#306 of 2,182 Restaurants in Seattle","[61, 51, 13, 10, 6]",$$ - $$$,AmericanSteakhouseGluten Free Options,98105,University District
498,498,Seattle Fish Company,4.0,102,"4435 California Ave SW, Seattle, WA 98116","#307 of 2,182 Restaurants in Seattle","[50, 32, 7, 5, 5]",$$ - $$$,AmericanSeafood,98116,Other
499,499,Kisaku,4.5,97,"2101 N 55th St Ste 100, Seattle, WA 98103-6260","#308 of 2,182 Restaurants in Seattle","[54, 27, 8, 5, 2]",$$ - $$$,JapaneseSeafoodSushi,98103,Fremont/Wallingford
500,500,Marrakesh,4.0,136,"2334 2nd Ave, Seattle, WA 98121-1710","#309 of 2,182 Restaurants in Seattle","[65, 39, 10, 9, 11]",$$ - $$$,MoroccanMediterraneanMiddle Eastern,98121,Belltown
501,501,Cook Weaver,5.0,32,"806 E Roy St, Seattle, WA 98102-4611","#310 of 2,182 Restaurants in Seattle","[27, 4, 0, 0, 1]",$$ - $$$,SpanishContemporaryVegetarian Friendly,98102,Capitol Hill
504,504,Meet the Moon,4.5,56,"120 Lakeside Ave, Seattle, WA 98122-6533","#311 of 2,182 Restaurants in Seattle","[29, 16, 8, 1, 0]",$$ - $$$,AmericanContemporaryHealthy,98122,Capitol Hill
506,506,Alaskan Sourdough Bakery,4.0,94,"Alaskan Sourdough Bakery, Seattle, WA 98101",#27 of 88 Bakeries in Seattle,"[38, 29, 13, 7, 3]",$,BakeriesAmerican,98101,Downtown
507,507,Milstead & Co.,4.5,43,"770 N 34th St, Seattle, WA 98103-8801",#25 of 225 Coffee & Tea in Seattle,"[28, 10, 2, 0, 0]",$,Quick BitesCafe,98103,Fremont/Wallingford
509,509,Eve Fremont,4.5,50,"704 N 34th St, Seattle, WA 98103","#313 of 2,182 Restaurants in Seattle","[32, 14, 2, 1, 1]",$$ - $$$,InternationalAsianHealthy,98103,Fremont/Wallingford
510,510,Cafe Lago,4.0,94,"2305 24th Ave E, Seattle, WA 98112-2606","#314 of 2,182 Restaurants in Seattle","[43, 34, 8, 4, 3]",$$ - $$$,ItalianPizzaContemporary,98112,Capitol Hill
511,511,Belltown Pizza,4.0,166,"2422 1st Ave, Seattle, WA 98121-1312","#315 of 2,182 Restaurants in Seattle","[36, 82, 24, 10, 7]",$$ - $$$,ItalianBarPizza,98121,Belltown
512,512,Witness Bar,4.5,64,"410 Broadway E, Seattle, WA 98102-5010","#316 of 2,182 Restaurants in Seattle","[28, 26, 5, 2, 1]",$$ - $$$,AmericanVegetarian Friendly,98102,Capitol Hill
513,513,Rhein Haus Seattle,4.0,90,"912 12th Ave, Seattle, WA 98122-4412","#317 of 2,182 Restaurants in Seattle","[28, 45, 7, 7, 1]",$$ - $$$,GermanAustrianBar,98122,Capitol Hill
514,514,Island Soul Restaurant,4.5,66,"4869 Rainier Ave S, Seattle, WA 98118-1741","#318 of 2,182 Restaurants in Seattle","[33, 22, 5, 1, 2]",$$ - $$$,CaribbeanCajun & CreoleJamaican,98118,Other
515,515,Grecian Corner,4.0,75,"140 4th Ave N Ste 160, Seattle, WA 98109-4940","#319 of 2,182 Restaurants in Seattle","[31, 31, 4, 3, 3]",$$ - $$$,MediterraneanGreekVegetarian Friendly,98109,Queen Anne/South Lake Union
516,516,Flying Apron,4.0,86,"3510 Fremont Ave N, Seattle, WA 98103-8814",#28 of 88 Bakeries in Seattle,"[39, 32, 8, 2, 3]",$$ - $$$,BakeriesAmericanCafe,98103,Fremont/Wallingford
517,517,Dough Zone,4.5,29,"815 Pine St, Seattle, WA 98101-1817","#320 of 2,182 Restaurants in Seattle","[15, 9, 4, 0, 0]",$$ - $$$,ChineseAsianShanghai,98101,Downtown
518,518,BIscuit and Bean,4.5,42,"5905 15th Ave NW, Seattle, WA 98107-3009",#84 of 302 Quick Bites in Seattle,"[26, 14, 1, 1, 0]",$,Quick BitesAmericanVegetarian Friendly,98107,Ballard
519,519,Eden Hill,4.5,65,"2209 Queen Anne Ave N Graw Street & Boston Street, Seattle, WA 98109-2313","#321 of 2,182 Restaurants in Seattle","[47, 8, 5, 3, 2]",$$$$,AmericanVegetarian FriendlyGluten Free Options,98109,Queen Anne/South Lake Union
520,520,Macrina Bakery and Cafe,4.5,59,"1943 1st Ave S Ste 3A, Seattle, WA 98134-1419",#29 of 88 Bakeries in Seattle,"[29, 20, 6, 1, 1]",$$ - $$$,BakeriesAmericanCafe,98134,Other
